web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1626165142-9991","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Hurt Me Plenty","https://archiveofourown.org/works/16849585","Thatcutlittlekookie (orphan_account)","General Audiences","F/F","2018-12-06","469"
"1626169590-10386","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","What If We Dated?","https://archiveofourown.org/works/31396541","kalixchae","General Audiences","F/F","2021-05-19","637"
"1626165260-10001","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","Desire","https://archiveofourown.org/works/17235158","btsblinx_r_us","Not Rated","F/F","2018-12-31","1281"
"1626166108-10076","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","pink gin","https://archiveofourown.org/works/20752844","babelincoln","Teen And Up Audiences","F/F","2019-09-23","763"
"1626168471-10287","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","A candle for you","https://archiveofourown.org/works/28803894","rudesunyoung","Teen And Up Audiences","F/F","2021-01-17","1173"
"1626164542-9937","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","THE BIG BANG THEORY","https://archiveofourown.org/works/14004369","exrui","Not Rated","F/F","2018-03-17","1742"
"1626166693-10129","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","There's no sunset without you","https://archiveofourown.org/works/22728112","rudesunyoung","Mature","F/F","2020-02-15","3189"
"1626165430-10016","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","Dim lights","https://archiveofourown.org/works/18051302","Effymaybe","General Audiences","F/F","2019-03-09","1010"
"1626168643-10302","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","La Fleur","https://archiveofourown.org/works/29335353","Lemonstxr","Teen And Up Audiences","F/F","2021-02-10","449"
"1626169902-10411","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","city girls love to have fun in the city","https://archiveofourown.org/works/29638068","saltyvenus","Explicit","F/F","2021-02-22","2617"
"1626169429-10372","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Without You","https://archiveofourown.org/works/31171364","justmusings","General Audiences","F/F","2021-05-08","406"
"1626165818-10051","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","go slow","https://archiveofourown.org/works/19312315","hotmess_ex_press","Teen And Up Audiences","F/F","2019-06-22","1491"
