web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1627548753-340","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","旧物","https://archiveofourown.org/works/27591728","jodijodijodi22","General Audiences","F/F","2020-11-16","308"
"1627548679-333","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","blame it on the alcohol","https://archiveofourown.org/works/27437620","throwaway18","Teen And Up Audiences","F/F","2020-11-07","1665"
"1627548593-325","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","Unlikely, but Not Impossible","https://archiveofourown.org/works/25323139","aprilrcho","Mature","F/F","2020-07-18","5302"
"1627548316-301","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","Follow me, honey","https://archiveofourown.org/works/26335453","rudesunyoung","General Audiences","F/F","2020-09-08","1442"
"1627545931-87","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Guarded //jenlisa&chaesoo//","https://archiveofourown.org/works/26531644","soberyouth","Teen And Up Audiences","F/F","2018-11-05","55"
"1627547624-239","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Give You Something Good To Celebrate","https://archiveofourown.org/works/23355145","harleeq","Explicit","F/F","2020-03-28","5096"
"1627550794-522","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","you would know if you stayed","https://archiveofourown.org/works/31674899","TallPikeRoast","Mature","F/F","2021-06-01","8299"
"1627549608-416","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","fragrant in small doses","https://archiveofourown.org/works/30032814","acequid","General Audiences","F/F","2021-03-14","902"
"1627546420-131","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","You Found Me: Gender Reveal","https://archiveofourown.org/works/18859174","bp_xxi","General Audiences","F/F","2019-05-17","951"
"1627545803-76","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","This Is How You Lose Me","https://archiveofourown.org/works/16112540","kapsyon","Mature","F/F","2018-09-27","1155"
"1627548743-339","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","First Kiss","https://archiveofourown.org/works/27549475","chelinda","General Audiences","F/F","2020-11-14","1160"
"1627549842-437","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Day In The Life Of Lisa Manoban","https://archiveofourown.org/works/29769939","Shinedown204","Explicit","F/F","2021-03-01","8508"
"1627547645-241","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Listen, that's the sound of my heart","https://archiveofourown.org/works/23415181","rudesunyoung","Teen And Up Audiences","F/F","2020-03-31","1738"
"1627545824-78","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","What Is Love","https://archiveofourown.org/works/12043722","SunSkip","Mature","F/F","2017-09-09","7041"
"1627551039-543","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","Killing Jennie Kim","https://archiveofourown.org/works/28691394","soul_is_lonely","Mature","F/F","2021-01-11","2401"
"1627550108-461","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","Are We Dating?","https://archiveofourown.org/works/31045463","march_jo","Teen And Up Audiences","F/F","2021-05-02","744"
"1627551060-545","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","wild nights! were i with thee","https://archiveofourown.org/works/32661676","clearlight08","Teen And Up Audiences","F/F","2021-07-18","534"
"1627546335-123","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=22","there's something in the way you move","https://archiveofourown.org/works/18418277","orphan_account","General Audiences","F/F","2019-04-10","1276"
"1627546165-108","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","A Last Journey","https://archiveofourown.org/works/17931680","jenlisa","Teen And Up Audiences","F/F","2019-02-26","378"
"1627548710-336","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","the most fragile star in the universe.","https://archiveofourown.org/works/25245220","icursedthisworld","Mature","F/F","2020-07-13","15091"
"1627545175-20","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","onsra","https://archiveofourown.org/works/12000681","sohmins","Not Rated","F/F","2017-09-04","3857"
"1627545100-13","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Fuzzies","https://archiveofourown.org/works/11158194","TaeKookiefeels","Explicit","F/F","2017-06-10","25660"
"1627548614-327","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","Ain’t Nunya Bees","https://archiveofourown.org/works/27294502","sweet_melodies","Teen And Up Audiences","F/F","2020-10-31","3641"
"1627546155-107","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","explosion","https://archiveofourown.org/works/17897393","kleine_waldfee","Not Rated","F/F","2019-02-23","1127"
"1627547303-210","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","13 reasons why.","https://archiveofourown.org/works/22046872","Alex_Murphy","Mature","M/M","2019-12-31","197"
"1627548476-315","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","may i get a name?","https://archiveofourown.org/works/26760604","sourpatchsoju","Not Rated","F/F","2020-10-01","616"
"1627546910-175","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","5000 steps to you","https://archiveofourown.org/works/19017622","carmillawriter","Not Rated","F/F","2019-05-29","839"
"1627550986-539","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Stuck With You","https://archiveofourown.org/works/32571871","TheMissusM","Not Rated","F/F","2021-07-14","922"
"1627547634-240","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","wrong number, sorry.","https://archiveofourown.org/works/22904014","legitnayeon","Teen And Up Audiences","F/F","2020-03-02","332"
